artifact_id,file_name,ext,bytes,modified_utc,sha256_12,category,subtype,experiment_family
cil-0169-tq2-structurally-distinct-route-,TQ2_structurally_distinct_route_readout_report_2026-03-29ag.md,.md,1367,2026-03-29T16:36:18.300466+00:00,83fe462f3648,experiment,report,route_readout
cil-0170-tq2-structurally-distinct-route-,TQ2_structurally_distinct_route_readout_step3plus_2026-03-29ag.csv,.csv,124,2026-03-29T16:36:18.210763+00:00,3fbc4d60b285,result,table_csv,route_readout
cil-0171-tq2-substrate-probe-report,TQ2_substrate_probe_report.md,.md,3960,2026-03-29T16:38:21.090348+00:00,40948c0d9c2d,experiment,report,misc
cil-0172-tq2-text-ood-probe-2026-03-29h,TQ2_text_ood_probe_2026-03-29h.csv,.csv,430,2026-03-29T16:36:23.702424+00:00,c88a1318f95a,result,table_csv,text_path
cil-0173-tq2-text-ood-probe-confusions-20,TQ2_text_ood_probe_confusions_2026-03-29h.json,.json,7207,2026-03-29T16:36:23.811213+00:00,3215507f8d5a,result,json,text_path
cil-0174-tq2-text-ood-probe-report-2026-0,TQ2_text_ood_probe_report_2026-03-29h.md,.md,1420,2026-03-29T16:36:23.599329+00:00,a6e50d1a459e,experiment,report,text_path
cil-0175-tq2-text-transform-family-ablati,TQ2_text_transform_family_ablation_2026-03-29ao.csv,.csv,874,2026-03-29T16:36:16.002655+00:00,17a9faeb2a10,result,table_csv,text_path
cil-0176-tq2-text-transform-family-ablati,TQ2_text_transform_family_ablation_report_2026-03-29ao.md,.md,1473,2026-03-29T16:36:15.962558+00:00,4b8c77c991d9,experiment,report,text_path
cil-0177-tq2-tiny-mlp-baseline-raw-2026-0,TQ2_tiny_mlp_baseline_raw_2026-03-29ap.csv,.csv,4258,2026-03-29T16:36:15.362415+00:00,71a7d03f71a8,result,table_csv,misc
cil-0178-tq2-tiny-mlp-baseline-report-202,TQ2_tiny_mlp_baseline_report_2026-03-29ap.md,.md,2669,2026-03-29T16:36:15.429430+00:00,92ab8e75eb1a,experiment,report,misc
cil-0179-tq2-tiny-mlp-baseline-summary-20,TQ2_tiny_mlp_baseline_summary_2026-03-29ap.csv,.csv,587,2026-03-29T16:36:15.389180+00:00,c0bb17de42dc,result,table_csv,misc
cil-0180-tq2-tiny-mlp-vs-branch-compare-2,TQ2_tiny_mlp_vs_branch_compare_2026-03-29ap.csv,.csv,1019,2026-03-29T16:36:15.407353+00:00,57b04964706f,result,table_csv,misc
cil-0181-tq2-toy-distillation-quant-detai,TQ2_toy_distillation_quant_details_2026-03-29aq.csv,.csv,969,2026-03-29T16:36:15.282327+00:00,fa2b03131f6f,result,table_csv,project_a_distillation
cil-0182-tq2-toy-distillation-report-2026,TQ2_toy_distillation_report_2026-03-29aq.md,.md,3756,2026-03-29T16:36:15.233114+00:00,4aa9f5ede58b,experiment,report,project_a_distillation
cil-0183-tq2-toy-distillation-results-202,TQ2_toy_distillation_results_2026-03-29aq.csv,.csv,1088,2026-03-29T16:36:15.256910+00:00,2b637d00b5e7,result,table_csv,project_a_distillation
cil-0184-tq2-z80-text-probe-2026-03-29f,TQ2_z80_text_probe_2026-03-29f.csv,.csv,384,2026-03-29T16:36:24.922966+00:00,9f67876e879e,result,table_csv,text_path
cil-0185-tq2-z80-text-probe-confusions-20,TQ2_z80_text_probe_confusions_2026-03-29f.json,.json,5579,2026-03-29T16:36:25.029959+00:00,248a2b182dbf,result,json,text_path
cil-0186-tq2-z80-text-probe-report-2026-0,TQ2_z80_text_probe_report_2026-03-29f.md,.md,2543,2026-03-29T16:36:24.888602+00:00,8b79dffae604,experiment,report,text_path
cil-0187-tq2-z80-text-probe-v1-v2-compari,TQ2_z80_text_probe_v1_v2_comparison_2026-03-29g.csv,.csv,704,2026-03-29T16:36:24.222591+00:00,9b77bea21858,result,table_csv,text_path
cil-0188-tq2-z80-text-probe-v1-v2-confusi,TQ2_z80_text_probe_v1_v2_confusions_2026-03-29g.json,.json,10120,2026-03-29T16:36:24.382854+00:00,91c2b7fccd47,result,json,text_path
cil-0189-tq2-z80-text-probe-v1-v2-report-,TQ2_z80_text_probe_v1_v2_report_2026-03-29g.md,.md,3048,2026-03-29T16:36:24.308479+00:00,1bf0a49c10cc,experiment,report,text_path
cil-0190-tq2-z-maybe-gate-drop-2026-03-29,TQ2_z_maybe_gate_drop_2026-03-29ai.csv,.csv,948,2026-03-29T16:38:18.779558+00:00,78d7d0d5d587,result,table_csv,route_readout
cil-0191-tq2-z-maybe-gate-drop-report-202,TQ2_z_maybe_gate_drop_report_2026-03-29ai.md,.md,3248,2026-03-29T16:38:18.891202+00:00,4fe6d5f725fb,experiment,report,route_readout
cil-0192-tq2-z-maybe-gate-drop-step3plus-,TQ2_z_maybe_gate_drop_step3plus_2026-03-29ai.csv,.csv,1031,2026-03-29T16:36:17.591138+00:00,4801dbd19e46,result,table_csv,route_readout
cil-0193-tech-concept-evaluation,Tech Concept Evaluation.mht,.mht,10590635,2026-03-29T16:36:18.154341+00:00,4dc272a127d0,source,mht_capture,misc
cil-0194-ternary-weight-and-inference-the,Ternary Weight and Inference thesis.txt,.txt,14821,2026-03-29T16:36:27.207164+00:00,a3a94f218d92,source,text_capture,misc
cil-0195-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-28a.md,.md,7267,2026-03-29T16:36:26.880497+00:00,d1af4d52be4c,doctrine,basis_doctrine,misc
cil-0196-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29a.md,.md,6936,2026-03-29T16:36:26.393273+00:00,58f5bd96db21,doctrine,basis_doctrine,misc
cil-0197-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29b.md,.md,2414,2026-03-29T16:36:26.194287+00:00,c1b7ef6a7c96,doctrine,basis_doctrine,misc
cil-0198-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29c.md,.md,1466,2026-03-29T16:36:25.686934+00:00,cafa37f4b1ce,doctrine,basis_doctrine,misc
cil-0199-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29g.md,.md,943,2026-03-29T16:36:24.303938+00:00,49993a6423e7,doctrine,basis_doctrine,misc
cil-0200-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29h.md,.md,704,2026-03-29T16:36:24.008841+00:00,340ae5ac810e,doctrine,basis_doctrine,misc
cil-0201-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29i.md,.md,776,2026-03-29T16:36:23.417080+00:00,c50f6121bb50,doctrine,basis_doctrine,misc
cil-0202-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29j.md,.md,823,2026-03-29T16:36:22.995571+00:00,724a15402b9c,doctrine,basis_doctrine,misc
cil-0203-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29k.md,.md,884,2026-03-29T16:36:22.611016+00:00,2c7ad3da7ff1,doctrine,basis_doctrine,misc
cil-0204-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29l.md,.md,1027,2026-03-29T16:36:22.085644+00:00,387de0dae648,doctrine,basis_doctrine,misc
cil-0205-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29m.md,.md,1008,2026-03-29T16:36:22.008717+00:00,e3efcce2a585,doctrine,basis_doctrine,misc
cil-0206-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29n.md,.md,984,2026-03-29T16:38:20.403371+00:00,d960ceee2cf8,doctrine,basis_doctrine,misc
cil-0207-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29s.md,.md,1181,2026-03-29T16:36:20.783363+00:00,9b58e207595e,doctrine,basis_doctrine,misc
cil-0208-weight-substrate-basis-2026-03-2,WEIGHT_SUBSTRATE_BASIS_2026-03-29t.md,.md,610,2026-03-29T16:36:20.668216+00:00,366e81ddd016,doctrine,basis_doctrine,misc
cil-0209-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-28a.md,.md,1061,2026-03-29T16:36:27.149167+00:00,04d0e7031b4f,control,index,control_layer
cil-0210-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29a.md,.md,658,2026-03-29T16:36:26.725305+00:00,166c88407e69,control,index,control_layer
cil-0211-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29c.md,.md,644,2026-03-29T16:36:26.181951+00:00,88456973e9da,control,index,control_layer
cil-0212-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29g.md,.md,454,2026-03-29T16:36:24.720699+00:00,09bf6e5942ea,control,index,control_layer
cil-0213-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29h.md,.md,411,2026-03-29T16:36:24.242785+00:00,28734eaadadb,control,index,control_layer
cil-0214-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29i.md,.md,472,2026-03-29T16:36:23.539627+00:00,7cc50cbdc22b,control,index,control_layer
cil-0215-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29j.md,.md,416,2026-03-29T16:36:23.288513+00:00,55b36828800f,control,index,control_layer
cil-0216-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29k.md,.md,419,2026-03-29T16:36:22.682310+00:00,8ca492aaacc7,control,index,control_layer
cil-0217-weight-substrate-index-2026-03-2,WEIGHT_SUBSTRATE_INDEX_2026-03-29l.md,.md,437,2026-03-29T16:36:22.324340+00:00,9f1febdf4f94,control,index,control_layer
cil-0218-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.1_2026-03-28a.md,.md,5877,2026-03-29T16:36:27.083633+00:00,ce3b5d6ecfa7,doctrine,white_paper,misc
cil-0219-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.2_2026-03-29a.md,.md,6275,2026-03-29T16:36:26.685854+00:00,be9a99ced18f,doctrine,white_paper,misc
cil-0220-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.4_2026-03-29c.md,.md,1114,2026-03-29T16:36:26.015898+00:00,54808cb949a1,doctrine,white_paper,misc
cil-0221-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.5_2026-03-29g.md,.md,892,2026-03-29T16:36:24.609636+00:00,79fe08f59939,doctrine,white_paper,misc
cil-0222-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.6_2026-03-29h.md,.md,734,2026-03-29T16:36:24.147085+00:00,4a3ff1ca9305,doctrine,white_paper,misc
cil-0223-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.7_2026-03-29i.md,.md,682,2026-03-29T16:36:23.492485+00:00,bcbedcf0509c,doctrine,white_paper,misc
cil-0224-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.8_2026-03-29j.md,.md,755,2026-03-29T16:36:23.302959+00:00,a27cbf205b35,doctrine,white_paper,misc
cil-0225-weight-substrate-white-paper-v0-,WEIGHT_SUBSTRATE_WHITE_PAPER_v0.9_2026-03-29k.md,.md,757,2026-03-29T16:36:22.772537+00:00,398e893eec7b,doctrine,white_paper,misc
